,Person ID,Region,Residence Type,Family Composition,Population Base,Sex,Age,Marital Status,Student,Country of Birth,Health,Ethnic Group,Religion,Economic Activity,Occupation,Industry,Hours worked per week,Approximated Social Grade
78273,7473304,E12000008,H,1,1,2,4,1,2,2,1,4,2,1,9,11,3,4
495674,7899835,E12000007,H,2,1,2,6,2,2,1,3,1,2,5,4,12,-9,1
276693,7677527,E12000008,H,2,1,2,1,1,1,2,1,1,2,-9,-9,-9,-9,-9
567823,7427778,E12000004,C,-9,1,2,2,1,1,1,1,1,1,4,7,4,2,-9
170212,7571219,E12000006,H,2,1,1,3,2,2,1,2,1,9,1,5,4,3,3
314601,7714726,E12000005,H,2,1,1,2,1,2,1,1,1,1,1,9,8,3,4
115948,7512948,E12000006,H,6,1,1,3,1,2,2,2,1,2,1,9,6,3,4
44536,7438225,E12000009,H,2,1,1,6,2,2,1,1,1,1,1,1,9,3,1
28950,7425538,E12000004,H,2,1,2,1,1,1,1,2,1,1,-9,-9,-9,-9,-9
112082,7509619,E12000009,H,2,1,2,3,2,2,1,2,1,2,1,6,11,2,4
18,7395059,E12000001,H,1,1,1,4,1,2,1,3,1,1,1,8,2,3,4
252654,7650870,E12000006,H,4,1,1,4,1,2,1,3,1,2,9,-9,-9,-9,2
244676,7641355,E12000004,H,2,1,2,3,2,2,1,1,1,2,1,3,8,3,1
511506,7916247,E12000007,H,2,1,1,1,1,1,2,1,1,2,-9,-9,-9,-9,-9
217828,7617552,E12000008,H,2,1,2,5,2,2,1,1,1,2,1,3,11,4,2
357541,7760101,E12000002,H,3,1,1,5,4,2,1,1,1,2,2,5,3,3,3
262163,7663473,E12000003,H,2,1,2,2,2,2,1,2,1,2,7,2,11,-9,2
189304,7585983,E12000008,H,2,1,1,5,2,2,1,2,1,2,1,5,4,3,3
459746,7860487,E12000007,H,2,1,1,1,1,1,1,1,4,2,-9,-9,-9,-9,-9
315834,7717202,E12000005,H,2,1,2,1,1,2,1,1,1,1,-9,-9,-9,-9,-9
275165,7678371,E12000008,H,2,1,2,1,1,1,1,2,1,2,-9,-9,-9,-9,-9
568620,7963738,W92000004,H,2,1,1,3,1,2,1,2,1,2,8,9,2,-9,4
258410,7659121,E12000004,H,2,1,1,4,2,2,1,1,1,2,1,2,6,3,1
536559,7941072,W92000004,H,1,1,1,6,3,2,1,2,1,1,2,3,9,4,2
34741,7433654,E12000005,H,3,1,1,3,1,2,1,2,1,1,1,3,4,4,2
508588,7915530,E12000007,H,2,1,1,1,1,2,1,1,3,9,-9,-9,-9,-9,-9
91955,7486506,E12000001,H,1,1,2,2,1,1,1,1,1,9,6,7,8,-9,2
67784,7462843,E12000008,H,2,1,1,6,2,2,1,4,1,2,5,3,10,-9,1
546023,7947795,W92000004,H,5,1,2,1,1,1,1,2,1,1,-9,-9,-9,-9,-9
132075,7527553,E12000006,H,2,1,1,1,1,1,1,2,3,4,-9,-9,-9,-9,-9
32090,7421709,E12000004,H,1,1,2,3,1,2,1,2,1,9,1,1,12,1,1
183296,7580871,E12000008,H,3,1,2,4,4,2,1,2,1,1,7,6,11,-9,4
320113,7719209,E12000005,H,2,1,1,2,1,2,1,1,1,2,1,9,2,3,4
354411,7751997,E12000002,H,1,1,1,5,4,2,1,1,1,2,2,3,10,4,2
485152,7886898,E12000007,H,2,1,1,2,1,2,1,1,1,2,2,6,8,4,3
372253,7776449,E12000003,H,2,1,1,1,1,1,1,1,1,2,-9,-9,-9,-9,-9
291613,7693891,E12000005,H,3,1,1,4,1,2,1,3,1,1,1,8,4,1,4
19900,7413864,E12000003,H,2,1,1,4,2,2,2,3,1,1,1,2,2,3,1
467192,7867690,E12000007,H,2,1,1,5,3,1,2,3,4,2,4,5,5,2,2
223750,7623412,E12000002,H,1,1,2,3,1,2,1,2,1,2,3,-9,-9,-9,4
205220,7604476,E12000008,H,3,1,2,1,1,1,1,1,1,1,-9,-9,-9,-9,-9
558260,7414712,E12000003,C,-9,1,2,4,1,2,1,4,1,1,8,-9,-9,-9,-9
1283,7395632,E12000001,H,2,1,1,5,2,2,1,1,1,2,2,8,3,4,4
474957,7880561,E12000007,H,5,1,1,1,1,1,1,4,4,2,-9,-9,-9,-9,-9
326350,7730367,E12000005,H,1,1,2,7,5,2,1,1,1,1,5,4,8,-9,2
139257,7536871,E12000004,H,4,1,1,2,1,2,1,1,1,2,1,5,3,4,3
466103,7868468,E12000007,H,5,1,2,3,1,2,1,2,4,9,7,-9,-9,-9,4
104393,7502522,E12000005,H,2,1,2,6,2,2,1,1,1,2,2,4,10,1,2
46147,7443896,E12000009,H,2,1,2,4,2,2,1,1,1,2,1,6,11,3,4
113125,7510041,E12000009,H,2,1,2,6,2,2,1,1,1,2,7,7,4,-9,2
184241,7583884,E12000008,H,2,1,1,5,2,2,1,2,1,2,1,2,6,3,1
487196,7889479,E12000007,H,5,1,2,5,4,2,1,3,1,1,3,6,9,-9,4
75819,7475502,E12000008,H,2,1,1,1,1,1,1,1,1,2,-9,-9,-9,-9,-9
215957,7617097,E12000008,H,2,1,1,1,1,2,1,1,1,1,-9,-9,-9,-9,-9
530849,7933713,W92000004,H,2,1,1,5,2,2,1,2,1,2,3,3,8,-9,4
431989,7836347,E12000003,H,2,1,2,5,2,2,1,2,1,1,1,3,12,2,2
284240,7685292,E12000009,H,2,1,2,6,2,2,1,4,1,2,2,2,11,2,1
474366,7878372,E12000007,H,2,1,2,6,2,2,1,2,1,2,1,4,11,1,2
31761,7421037,E12000004,H,1,1,1,2,1,1,1,2,2,2,4,9,5,1,2
454305,7859249,E12000007,H,2,1,1,5,2,2,2,1,4,2,3,2,11,-9,4
94248,7490742,E12000001,H,2,1,1,4,2,2,1,1,1,2,1,3,7,3,1
422930,7828242,E12000003,H,2,1,2,6,2,2,1,2,1,2,5,3,9,-9,2
83890,7477572,E12000008,H,5,1,2,2,1,2,1,1,1,1,6,-9,-9,-9,2
123583,7521195,E12000008,H,2,1,1,4,2,2,2,2,5,6,1,2,6,3,1
380952,7786749,E12000003,H,2,1,1,7,2,2,1,4,1,2,5,6,11,-9,4
150614,7547590,E12000009,H,1,1,2,8,4,2,2,3,1,2,1,6,10,1,4
500671,7907446,E12000007,H,1,1,1,3,1,1,2,1,4,2,4,9,5,1,2
392660,7794037,E12000001,H,2,1,1,3,2,2,1,1,1,2,2,1,12,4,2
378232,7777124,E12000003,H,3,1,1,2,1,2,2,2,1,2,1,8,4,3,4
528405,7932077,E12000007,H,2,1,2,5,2,2,2,3,3,6,7,7,6,-9,3
108363,7502297,E12000005,H,5,1,2,1,1,2,1,1,1,1,-9,-9,-9,-9,-9
42978,7439940,E12000009,H,2,1,1,5,1,2,1,1,1,2,2,9,5,2,4
320702,7720836,E12000008,H,3,1,1,3,1,2,2,1,1,1,1,9,6,3,4
17974,7410300,E12000003,H,2,1,1,4,2,2,1,1,1,2,1,8,4,3,4
339950,7743833,E12000002,H,2,1,1,5,2,2,1,1,1,2,1,3,9,3,2
239717,7637599,E12000004,H,2,1,2,1,1,1,1,1,1,2,-9,-9,-9,-9,-9
297389,7700562,E12000006,H,2,1,2,6,2,2,1,1,1,2,5,7,8,-9,3
257655,7654614,E12000004,H,2,1,2,4,2,2,1,3,1,2,1,3,11,2,2
448143,7852883,E12000007,H,5,1,2,2,1,1,2,2,4,2,6,-9,-9,-9,2
389951,7792945,E12000001,H,2,1,2,3,2,2,1,1,1,2,3,6,11,-9,4
68096,7465528,E12000008,H,6,1,1,7,3,2,2,2,3,9,5,2,2,-9,1
437243,7844705,E12000003,H,3,1,2,2,1,2,1,2,1,1,1,9,12,3,4
65095,7459110,E12000006,H,2,1,1,1,1,1,1,1,1,9,-9,-9,-9,-9,-9
322222,7723234,E12000008,H,2,1,2,1,1,1,1,1,1,2,-9,-9,-9,-9,-9
517252,7921115,E12000007,H,1,1,2,6,5,2,2,3,3,4,8,4,4,-9,2
180797,7577811,E12000009,H,5,1,2,1,1,1,1,1,1,2,-9,-9,-9,-9,-9
89690,7486001,E12000001,H,2,1,1,3,1,2,1,1,1,2,3,3,4,-9,4
242049,7642864,E12000004,H,-9,2,2,2,1,1,-9,-9,-9,-9,-9,-9,-9,-9,-9
190754,7589529,E12000008,H,3,1,2,4,1,2,1,1,1,8,1,2,11,3,2
136727,7534537,E12000004,H,2,1,1,2,1,1,1,1,1,1,4,9,5,1,2
51891,7450216,E12000009,H,2,1,2,4,2,2,1,1,1,2,1,2,10,2,1
509018,7911475,E12000007,H,2,1,2,3,3,2,2,1,1,2,7,2,10,-9,2
301943,7702936,E12000008,H,2,1,1,6,2,2,1,2,1,9,5,2,6,-9,1
394751,7808385,E12000005,H,6,1,2,5,1,2,1,2,1,9,1,2,2,4,1
208591,7609134,E12000008,H,3,1,2,4,2,2,1,3,1,2,9,-9,-9,-9,4
127198,7526407,E12000006,H,5,1,1,1,1,1,1,2,1,1,-9,-9,-9,-9,-9
262680,7663781,E12000003,H,2,1,1,3,2,2,1,1,2,2,1,3,3,4,2
501307,7902972,E12000007,H,3,1,2,3,1,2,1,1,1,2,1,4,4,3,2
482363,7887692,E12000007,H,1,1,2,3,1,2,2,1,1,2,1,1,5,3,2
462349,7865507,E12000007,H,2,1,1,5,2,2,1,2,1,1,2,3,8,3,2
527896,7933186,E12000007,H,2,1,1,4,2,2,1,1,1,2,1,3,6,3,2
327706,7730845,E12000005,H,2,1,1,6,2,2,1,1,1,2,1,8,6,2,4
497160,7902418,E12000007,H,1,1,2,7,5,2,2,4,4,2,5,5,1,-9,4
322953,7725654,E12000008,H,2,1,1,6,2,2,1,2,1,2,5,3,12,-9,2
63495,7458850,E12000006,H,2,1,2,2,1,1,1,2,1,2,6,-9,-9,-9,2
101871,7498986,E12000002,H,1,1,2,8,5,2,1,2,1,2,1,1,12,1,2
363963,7771009,E12000002,H,1,1,1,4,4,2,1,2,1,1,2,9,4,4,4
459377,7862475,E12000007,H,2,1,2,5,2,2,1,1,1,2,7,4,8,-9,2
440893,7843293,E12000003,H,2,1,2,1,1,1,1,2,1,2,-9,-9,-9,-9,-9
139161,7539756,E12000004,H,3,1,2,4,1,2,1,1,1,2,1,2,10,3,1
37192,7428267,E12000005,H,3,1,1,3,1,2,1,2,1,1,1,8,2,3,3
354122,7757022,E12000002,H,5,1,2,4,4,2,2,1,1,2,1,3,8,2,2
309666,7711879,E12000008,H,2,1,1,4,2,2,1,1,1,1,1,2,6,3,1
447365,7847404,E12000003,H,2,1,2,5,2,2,1,1,1,1,1,1,6,3,1
507669,7911912,E12000007,H,2,1,2,1,1,1,1,1,1,2,-9,-9,-9,-9,-9
301564,7705871,E12000008,H,5,1,2,4,3,2,1,1,1,1,7,2,11,-9,2
308072,7706693,E12000008,H,2,1,2,5,2,2,1,1,1,2,2,3,4,1,2
38887,7437349,E12000009,H,3,1,2,4,1,2,1,2,1,1,7,9,8,-9,4
204198,7603524,E12000008,H,3,1,1,1,1,2,1,1,1,1,-9,-9,-9,-9,-9
116959,7508769,E12000009,H,2,1,1,4,2,2,1,1,1,2,1,1,9,4,1
522203,7926764,E12000007,H,5,1,1,1,1,1,1,2,3,6,-9,-9,-9,-9,-9
328247,7722817,E12000008,H,2,1,2,1,1,2,1,1,1,1,-9,-9,-9,-9,-9
248739,7647010,E12000006,H,1,1,1,7,4,2,1,3,1,1,5,8,6,-9,3
153998,7553302,E12000008,H,2,1,1,2,1,2,1,1,1,2,1,7,4,2,4
561937,7502534,E12000005,C,-9,1,1,2,1,2,2,2,2,2,9,9,4,-9,-9
514351,7919958,E12000007,H,6,1,2,3,1,1,2,1,1,2,6,-9,-9,-9,2
11375,7403054,E12000002,H,5,1,1,4,1,2,1,3,1,1,1,9,8,4,3
411041,7815698,E12000005,H,2,1,2,1,1,1,1,1,1,2,-9,-9,-9,-9,-9
24460,7415625,E12000003,H,1,1,1,7,4,2,1,2,1,2,5,5,5,-9,4
216643,7616199,E12000008,H,5,1,2,1,1,1,1,1,1,9,-9,-9,-9,-9,-9
287871,7691250,E12000005,H,2,1,1,6,2,2,1,1,1,2,5,1,9,-9,1
116018,7514645,E12000006,H,3,1,1,4,4,2,1,1,1,2,1,3,7,4,1
348775,7749370,E12000002,H,1,1,2,5,1,2,1,2,1,2,1,2,6,4,1
95148,7491377,E12000001,H,2,1,1,1,1,1,1,1,1,2,-9,-9,-9,-9,-9
427964,7833637,E12000003,H,2,1,2,4,2,2,1,2,1,2,1,1,7,3,1
229363,7627358,E12000002,H,2,1,2,1,1,1,1,1,1,2,-9,-9,-9,-9,-9
475139,7876911,E12000007,H,2,1,2,4,2,2,2,1,3,3,1,4,6,3,2
127321,7523774,E12000006,H,1,1,2,5,4,2,1,1,1,9,1,6,8,3,3
192827,7592169,E12000006,H,5,1,1,1,1,2,1,1,1,2,-9,-9,-9,-9,-9
478700,7882499,E12000007,H,1,1,2,3,1,2,1,1,1,2,1,2,11,3,2
373546,7776174,E12000003,H,2,1,2,2,1,2,1,2,1,1,1,9,3,2,4
374681,7775239,E12000003,H,2,1,2,4,2,2,1,1,1,2,1,6,11,1,4
322464,7725634,E12000008,H,2,1,2,2,1,2,1,1,1,2,1,6,12,3,3
434842,7835747,E12000003,H,1,1,1,5,1,2,1,1,1,1,1,2,3,3,1
27425,7418845,E12000004,H,1,1,2,3,1,2,1,1,2,9,1,2,11,4,1
464041,7869001,E12000007,H,5,1,1,5,1,2,2,2,4,2,1,7,8,3,2
507541,7914366,E12000007,H,2,1,2,4,2,2,2,4,3,6,8,5,3,-9,4
37366,7433066,E12000005,H,2,1,1,8,2,2,2,3,3,6,7,-9,-9,-9,4
383516,7785222,E12000003,H,5,1,2,2,1,2,1,2,2,2,1,4,4,2,2
196690,7593095,E12000006,H,2,1,2,8,2,2,2,2,1,2,5,3,11,-9,4
472141,7873937,E12000007,H,1,1,2,8,5,2,1,3,1,2,5,9,10,-9,4
40651,7435998,E12000009,H,1,1,1,3,1,2,1,1,1,1,1,7,4,4,4
297017,7698572,E12000006,H,2,1,2,3,2,2,1,1,1,2,1,2,3,1,2
453946,7857437,E12000007,H,3,1,2,3,1,2,2,2,1,2,1,1,5,4,2
448234,7855090,E12000007,H,2,1,1,3,2,2,1,2,1,2,1,1,2,4,1
377065,7781932,E12000003,H,4,1,2,1,1,1,1,1,1,1,-9,-9,-9,-9,-9
471339,7873649,E12000007,H,4,1,1,1,1,1,1,1,1,2,-9,-9,-9,-9,-9
53571,7445557,E12000009,H,1,1,1,4,1,2,1,2,1,1,1,7,4,3,4
458886,7863335,E12000007,H,2,1,1,2,1,2,2,1,3,2,1,4,5,2,2
502712,7904032,E12000007,H,2,1,1,1,1,1,2,2,1,2,-9,-9,-9,-9,-9
464872,7871866,E12000007,H,1,1,2,3,1,2,1,1,1,1,1,3,8,3,2
486491,7893074,E12000007,H,5,1,2,1,1,1,1,2,1,9,-9,-9,-9,-9,-9
297414,7700941,E12000006,H,2,1,2,7,2,2,1,2,1,2,5,5,4,-9,3
328686,7728976,E12000005,H,2,1,2,8,2,2,1,2,1,2,5,9,11,-9,1
203758,7601606,E12000006,H,2,1,1,6,2,2,1,1,1,1,2,8,6,3,4
433186,7837795,E12000003,H,2,1,1,6,2,2,1,2,1,2,1,2,3,3,1
54179,7448960,E12000009,H,5,1,1,1,1,1,1,2,1,9,-9,-9,-9,-9,-9
134233,7529295,E12000002,H,2,1,1,6,2,2,1,2,1,2,5,8,8,-9,4
372525,7776454,E12000003,H,3,1,1,3,1,2,1,1,1,1,1,8,6,3,4
154905,7552330,E12000009,H,2,1,2,5,2,2,1,2,1,2,1,7,8,2,2
498591,7898874,E12000007,H,2,1,1,4,2,2,2,1,1,1,1,2,10,4,1
99415,7485589,E12000001,H,1,1,1,6,5,2,1,4,1,2,8,9,6,-9,4
17000,7414252,E12000003,H,2,1,2,2,1,1,1,1,1,2,4,9,4,1,2
436584,7844746,E12000003,H,1,1,1,3,1,2,2,2,5,9,1,9,2,3,4
370538,7763705,E12000002,H,5,1,1,1,1,1,1,1,1,2,-9,-9,-9,-9,-9
339706,7743813,E12000002,H,2,1,1,6,2,2,1,2,1,2,2,1,2,4,2
373310,7775478,E12000003,H,1,1,1,4,1,2,1,2,1,2,2,5,3,3,3
360027,7760911,E12000002,H,2,1,2,5,2,2,1,1,1,2,1,4,10,3,2
88471,7485495,E12000001,H,2,1,2,2,1,2,1,2,1,2,1,6,12,2,3
132355,7528965,E12000002,H,2,1,1,8,2,2,1,3,1,2,5,1,2,-9,2
160334,7554806,E12000008,H,3,1,2,4,1,2,1,1,1,1,2,1,4,3,1
202338,7601240,E12000006,H,2,1,1,6,2,2,1,2,1,2,1,1,3,3,1
269336,7668917,E12000004,H,2,1,2,4,2,2,2,1,1,2,1,2,2,3,1
36817,7432038,E12000005,H,2,1,1,6,2,2,1,2,1,2,2,5,2,3,3
555217,7958138,W92000004,H,2,1,1,6,2,2,1,4,1,2,8,5,2,-9,3
75247,7470822,E12000008,H,2,1,1,1,1,1,2,2,3,2,-9,-9,-9,-9,-9
495435,7899965,E12000007,H,2,1,2,2,1,2,1,1,1,2,2,7,4,2,4
476811,7881243,E12000007,H,3,1,1,5,1,2,1,2,1,1,1,4,6,3,2
87738,7482512,E12000008,H,1,1,1,3,1,2,1,3,1,2,8,-9,-9,-9,4
415470,7818869,E12000005,H,4,1,2,3,1,2,1,1,2,2,7,-9,-9,-9,3
467264,7870183,E12000007,H,2,1,2,1,1,1,1,2,3,2,-9,-9,-9,-9,-9
11781,7407320,E12000002,H,1,1,1,3,2,2,2,2,1,9,1,5,5,3,3
551789,7952404,W92000004,H,2,1,1,1,1,1,1,1,1,1,-9,-9,-9,-9,-9
139201,7539925,E12000004,H,5,1,2,4,1,2,1,3,1,2,1,7,4,2,4
49826,7444796,E12000009,H,2,1,2,6,2,2,1,1,1,2,1,6,11,3,3
7216,7401457,E12000002,H,2,1,1,3,2,2,1,1,1,2,1,9,6,3,3
396704,7798735,E12000001,H,2,1,2,1,1,1,1,1,1,2,-9,-9,-9,-9,-9
535526,7940440,W92000004,H,5,1,2,2,1,1,1,1,1,1,6,-9,-9,-9,2
310516,7713554,E12000008,H,3,1,1,6,2,2,2,2,3,6,5,8,6,-9,3
385761,7788945,E12000001,H,2,1,2,4,2,2,1,2,1,2,1,2,10,3,1
528538,7936287,W92000004,H,2,1,2,4,2,2,1,1,1,2,1,5,5,4,3
541628,7962108,W92000004,H,1,1,1,3,1,2,1,3,1,2,1,2,8,4,1
485786,7887227,E12000007,H,2,1,1,8,2,2,2,3,3,8,5,4,4,-9,2
530418,7935206,W92000004,H,2,1,2,3,2,2,1,2,1,2,1,7,8,3,2
15613,7410311,E12000003,H,2,1,1,5,2,2,1,2,1,2,1,1,11,3,1
262743,7665196,E12000003,H,2,1,2,6,2,2,1,3,1,2,9,2,11,-9,4
260835,7659654,E12000004,H,1,1,1,6,4,2,2,5,2,6,8,5,3,-9,3
393065,7797934,E12000001,H,3,1,2,1,1,1,1,1,1,2,-9,-9,-9,-9,-9
81357,7479686,E12000008,H,1,1,2,6,2,2,1,3,1,1,9,4,2,-9,4
506526,7906304,E12000007,H,2,1,1,1,1,1,1,2,4,2,-9,-9,-9,-9,-9
510803,7911220,E12000007,H,2,1,2,1,1,1,1,1,1,1,-9,-9,-9,-9,-9
419148,7822982,E12000005,H,2,1,2,6,2,2,1,2,1,2,7,8,2,-9,3
73914,7470017,E12000008,H,3,1,2,2,1,1,1,2,1,2,6,-9,-9,-9,2
551994,7957426,W92000004,H,2,1,2,3,1,2,1,2,1,2,1,3,6,3,2
266539,7668101,E12000004,H,4,1,2,1,1,1,1,1,1,9,-9,-9,-9,-9,-9
181557,7577728,E12000009,H,3,1,2,3,1,2,1,1,1,9,1,2,11,2,2
337313,7734581,E12000002,H,2,1,2,6,2,2,1,2,1,2,5,7,4,-9,3
560470,7450820,E12000009,C,-9,1,1,2,1,1,1,1,1,2,4,7,4,-9,-9
174770,7571772,E12000006,H,2,1,1,8,2,2,1,3,1,2,5,2,8,-9,1
421885,7825689,E12000005,H,2,1,1,4,2,2,1,1,1,1,1,5,2,3,3
282464,7680235,E12000008,H,2,1,1,1,1,1,1,1,1,2,-9,-9,-9,-9,-9
365904,7763674,E12000002,H,2,1,1,6,2,2,1,3,1,2,1,5,2,3,3
113528,7513461,E12000006,H,1,1,1,4,4,2,1,1,1,2,1,2,8,3,1
234485,7634411,E12000004,H,2,1,1,2,1,1,1,1,2,2,6,-9,-9,-9,2
463022,7867467,E12000007,H,2,1,1,4,2,2,1,5,1,2,1,8,2,3,3
473146,7871711,E12000007,H,2,1,2,1,1,2,1,1,1,1,-9,-9,-9,-9,-9
390588,7795750,E12000001,H,1,1,2,6,3,2,1,3,1,2,5,6,11,-9,4
25788,7424308,E12000004,H,1,1,2,3,1,2,2,2,3,1,1,3,6,3,2
480496,7879894,E12000007,H,1,1,1,5,1,2,1,3,1,9,2,1,11,3,1
4470,7398328,E12000001,H,5,1,2,3,1,2,1,1,1,2,7,9,5,-9,4
461958,7869076,E12000007,H,3,1,2,4,4,2,2,1,4,2,9,7,5,-9,4
40052,7432611,E12000005,H,5,1,2,8,5,2,1,3,1,2,5,8,2,-9,4
537615,7940046,W92000004,H,2,1,1,5,2,2,1,3,1,2,3,5,9,-9,3
180093,7578730,E12000008,H,2,1,2,3,2,2,1,5,1,2,1,7,4,2,4
425816,7825736,E12000005,H,5,1,2,1,1,2,1,2,1,2,-9,-9,-9,-9,-9
455070,7858121,E12000007,H,-9,3,2,7,2,2,2,2,3,4,5,-9,-9,-9,-9
410366,7811291,E12000005,H,5,1,2,1,1,1,1,1,1,2,-9,-9,-9,-9,-9
166864,7564694,E12000006,H,3,1,2,3,1,2,1,1,1,2,1,3,9,3,2
545788,7960400,W92000004,H,2,1,1,6,2,2,1,2,1,2,5,7,6,-9,2
468198,7869361,E12000007,H,2,1,1,1,1,1,1,1,2,2,-9,-9,-9,-9,-9
48059,7444343,E12000009,H,2,1,1,1,1,1,1,1,3,2,-9,-9,-9,-9,-9
168701,7565071,E12000006,H,3,1,2,2,1,2,1,1,1,9,1,6,10,2,3
298320,7698814,E12000006,H,2,1,1,1,1,1,1,1,1,2,-9,-9,-9,-9,-9
296485,7698608,E12000006,H,2,1,2,1,1,1,1,1,2,9,-9,-9,-9,-9,-9
222178,7623427,E12000002,H,6,1,2,7,1,2,1,4,1,2,5,-9,-9,-9,2
511609,7916404,E12000007,H,4,1,1,4,1,2,1,4,2,1,2,1,4,1,2
326911,7730947,E12000005,H,2,1,1,6,2,2,1,2,1,1,5,3,8,-9,1
58401,7452757,E12000009,H,2,1,1,5,2,2,1,1,1,2,2,8,10,3,3
379180,7780553,E12000003,H,2,1,1,5,2,2,1,1,1,2,1,1,4,3,2
529218,7933413,W92000004,H,2,1,2,1,1,2,1,1,3,1,-9,-9,-9,-9,-9
558973,7458598,E12000006,C,-9,1,1,7,4,2,1,2,1,2,8,9,8,-9,-9
427714,7832726,E12000003,H,2,1,1,3,2,2,1,1,1,1,1,8,3,4,3
159907,7556665,E12000008,H,1,1,1,5,3,2,1,2,1,1,1,2,11,3,2
471338,7873634,E12000007,H,2,1,1,5,2,2,1,1,1,1,1,8,6,4,4
147229,7543573,E12000009,H,1,1,2,3,1,2,1,1,1,1,1,4,11,3,2
239103,7640739,E12000004,H,2,1,1,4,1,2,1,1,1,2,1,9,9,4,4
209208,7609800,E12000008,H,2,1,1,6,2,2,1,1,1,2,2,8,6,2,4
392577,7792991,E12000001,H,1,1,2,2,1,1,2,2,3,3,6,2,8,-9,2
36872,7429826,E12000005,H,2,1,1,5,2,2,1,2,1,1,1,3,7,4,2
544059,7949373,W92000004,H,2,1,2,3,2,2,1,1,1,9,1,3,9,3,2
41976,7437693,E12000009,H,3,1,2,1,1,1,1,1,1,2,-9,-9,-9,-9,-9
240769,7637434,E12000004,H,2,1,1,4,1,2,1,2,1,2,3,8,1,-9,3
191208,7592529,E12000006,H,2,1,2,8,2,2,1,4,1,2,5,1,5,-9,2
30033,7427133,E12000004,H,1,1,1,2,1,2,1,1,1,1,9,5,5,-9,2
320747,7721465,E12000008,H,3,1,1,3,1,2,1,2,1,2,3,9,6,-9,4
435458,7840548,E12000003,H,2,1,1,6,2,2,1,4,1,2,8,5,12,-9,2
372845,7775159,E12000003,H,3,1,2,4,4,2,1,1,1,2,1,4,11,3,2
248396,7645616,E12000006,H,3,1,1,6,1,2,1,2,1,2,5,5,2,-9,4
344518,7745964,E12000002,H,3,1,2,6,4,2,1,2,1,2,2,1,4,3,2
138316,7532598,E12000002,H,4,1,2,5,1,2,1,1,1,2,1,2,11,3,2
225245,7626105,E12000002,H,2,1,2,7,2,2,1,3,1,2,5,4,6,-9,2
10844,7403539,E12000002,H,2,1,2,6,2,2,1,3,1,2,5,6,11,-9,3
85254,7481349,E12000008,H,1,1,1,2,1,1,1,1,1,1,6,7,12,-9,2
487951,7894928,E12000007,H,1,1,2,6,1,2,1,3,1,1,5,2,6,-9,1
307660,7708313,E12000008,H,2,1,1,8,2,2,1,4,1,2,5,3,10,-9,4
321109,7718654,E12000005,H,1,1,2,8,5,2,1,2,1,2,5,4,7,-9,2
18241,7412771,E12000003,H,2,1,1,5,2,2,1,2,1,9,1,2,10,4,1
425854,7828700,E12000003,H,2,1,1,3,1,2,1,3,3,6,8,-9,-9,-9,2
565905,7793039,E12000001,C,-9,3,2,2,1,1,2,2,3,1,4,9,5,1,-9
334694,7734877,E12000002,H,2,1,1,6,2,2,2,4,3,6,8,8,2,-9,4
233884,7633645,E12000004,H,1,1,1,5,3,2,1,1,1,2,1,8,6,4,3
120150,7516251,E12000006,H,5,1,2,1,1,2,1,1,2,1,-9,-9,-9,-9,-9
560689,7901704,E12000007,C,-9,1,2,6,3,2,2,2,3,2,1,2,11,3,-9
239873,7636339,E12000004,H,2,1,2,1,1,1,1,1,1,2,-9,-9,-9,-9,-9
486074,7893490,E12000007,H,2,1,2,4,2,2,2,1,3,9,1,6,11,3,3
471606,7873690,E12000007,H,5,1,2,4,3,2,2,1,4,2,1,9,11,1,4
365894,7763740,E12000002,H,1,1,1,3,1,2,1,1,1,2,1,1,4,3,2
138864,7533275,E12000002,H,2,1,2,5,2,2,1,2,1,2,1,5,10,3,3
439834,7841885,E12000003,H,5,1,2,1,1,1,1,1,1,2,-9,-9,-9,-9,-9
449635,7852368,E12000007,H,3,1,1,2,1,2,1,1,1,1,3,3,8,-9,2
450839,7854920,E12000007,H,5,1,2,5,4,2,2,1,1,9,3,5,2,-9,3
257060,7653468,E12000004,H,2,1,1,8,2,2,1,2,1,2,5,8,2,-9,4
176332,7570895,E12000006,H,2,1,2,7,2,2,1,1,1,2,1,6,11,1,3
426185,7831352,E12000003,H,2,1,2,5,2,2,2,3,3,6,7,-9,-9,-9,2
297507,7698581,E12000006,H,3,1,1,1,1,1,1,1,1,9,-9,-9,-9,-9,-9
422999,7828706,E12000003,H,2,1,2,3,2,2,2,2,3,6,7,-9,-9,-9,1
358390,7759922,E12000002,H,2,1,1,7,2,2,1,4,1,9,5,8,2,-9,4
291788,7695902,E12000006,H,2,1,1,4,2,2,1,2,1,1,2,5,3,3,3
376042,7776938,E12000003,H,5,1,2,4,3,2,1,1,1,1,2,6,12,2,3
564085,7542856,E12000009,C,-9,1,2,2,1,1,1,1,1,2,6,7,5,-9,-9
443760,7849725,E12000007,H,1,1,1,4,1,2,1,1,4,1,1,2,7,3,1
154539,7553420,E12000008,H,2,1,1,6,2,2,1,3,1,2,1,1,3,3,1
17670,7413196,E12000003,H,2,1,2,5,2,2,1,2,1,2,1,4,2,3,2
425096,7829335,E12000003,H,2,1,2,1,1,1,1,1,3,6,-9,-9,-9,-9,-9
166157,7566113,E12000006,H,5,1,2,5,4,2,1,1,1,9,1,4,7,3,2
